update,group_count,group_rewards,group_variances,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_variance_group_count,zero_variance_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction
85,4,"[[0.2, 0.1, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 0.2, 0.2], [0.0, 1.0, 1.0, 1.0]]","[0.181875, 0.0, 0.0, 0.1875]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
86,4,"[[0.2, 0.2, 0.1, 0.2], [0.1, 0.2, 0.1, 0.1], [0.0, 0.0, 0.0, 0.0], [1.0, 0.15, 0.2, 0.15]]","[0.0018750000000000001, 0.0018750000000000001, 0.0, 0.130625]",3,0.75,1,0.25,1,0.25,1,0.25,1,0.25
87,4,"[[0.2, 0.2, 0.2, 1.0], [1.0, 0.2, 0.2, 1.0], [0.2, 0.2, 1.0, 1.0], [0.15, 0.2, 0.2, 0.15]]","[0.12, 0.16, 0.16, 0.0006250000000000004]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
88,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 1.0, 0.2, 0.2], [0.2, 0.2, 0.0, 0.2], [1.0, 0.15, 0.2, 1.0]]","[0.0, 0.12, 0.007500000000000001, 0.17046875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
89,4,"[[0.2, 0.2, 0.2, 0.1], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 0.2, 1.0]]","[0.0018750000000000001, 0.0, 0.0, 0.16]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
90,4,"[[0.1, 0.1, 0.1, 1.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.15, 0.2, 0.2], [0.2, 0.2, 1.0, 1.0]]","[0.151875, 0.0, 0.0004687500000000003, 0.16]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
91,4,"[[1.0, 0.2, 1.0, 1.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.0, 1.0], [1.0, 0.0, 0.2, 1.0]]","[0.12, 0.0, 0.1475, 0.2075]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
92,4,"[[1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 1.0, 0.2], [1.0, 1.0, 1.0, 1.0], [1.0, 0.2, 0.2, 0.2]]","[0.0, 0.12, 0.0, 0.12]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
93,4,"[[0.2, 0.2, 0.15, 0.2], [1.0, 1.0, 1.0, 0.2], [1.0, 0.2, 1.0, 0.1], [1.0, 0.15, 0.2, 0.2]]","[0.0004687500000000003, 0.12, 0.181875, 0.12546875]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
94,4,"[[0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 1.0, 1.0], [1.0, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0]]","[0.0, 0.12, 0.12, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
95,4,"[[0.2, 0.2, 0.2, 0.2], [0.0, 0.05, 0.15, 0.1], [1.0, 0.2, 1.0, 1.0], [0.2, 1.0, 0.2, 1.0]]","[0.0, 0.0031249999999999997, 0.12, 0.16]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
