update,group_count,group_rewards,group_variances,nonzero_variance_group_count,nonzero_variance_group_fraction,zero_variance_group_count,zero_variance_group_fraction,all_zero_group_count,all_zero_group_fraction,all_equal_group_count,all_equal_group_fraction,zero_advantage_group_count,zero_advantage_group_fraction
22,4,"[[0.1, 0.0, 0.2, 1.0], [0.1, 0.1, 0.1, 0.1], [0.2, 1.0, 0.2, 1.0], [0.2, 0.2, 0.2, 0.2]]","[0.156875, 0.0, 0.16, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
23,4,"[[0.15, 0.2, 0.2, 1.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.12546875, 0.0, 0.0, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
24,4,"[[0.1, 0.1, 0.1, 0.1], [0.2, 0.1, 0.1, 0.1], [0.2, 0.2, 1.0, 0.2], [1.0, 1.0, 1.0, 1.0]]","[0.0, 0.0018750000000000001, 0.12, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
25,4,"[[0.1, 1.0, 0.0, 1.0], [1.0, 1.0, 0.2, 1.0], [1.0, 0.0, 1.0, 1.0], [0.0, 0.2, 0.0, 0.0]]","[0.226875, 0.12, 0.1875, 0.007500000000000001]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
26,4,"[[0.1, 1.0, 0.2, 0.1], [0.2, 0.1, 0.2, 0.1], [1.0, 1.0, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.1425, 0.0025000000000000005, 0.12, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
27,4,"[[1.0, 1.0, 1.0, 0.15], [0.2, 0.1, 0.1, 0.1], [0.2, 1.0, 1.0, 0.2], [0.2, 0.2, 1.0, 1.0]]","[0.13546875, 0.0018750000000000001, 0.16, 0.16]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
28,4,"[[0.1, 1.0, 0.1, 1.0], [0.1, 0.1, 0.2, 0.1], [0.2, 1.0, 0.2, 0.2], [1.0, 0.2, 0.0, 1.0]]","[0.20249999999999999, 0.0018750000000000001, 0.12, 0.2075]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
29,4,"[[0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 0.1, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0]]","[0.0, 0.181875, 0.0, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
30,4,"[[0.1, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 1.0], [0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 0.0, 0.15]]","[0.0018750000000000001, 0.12, 0.0, 0.15171875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
31,4,"[[0.2, 0.15, 0.0, 0.05], [0.1, 0.2, 0.1, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 0.0, 1.0, 0.15]]","[0.00625, 0.0025000000000000005, 0.0, 0.15171875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
32,4,"[[0.1, 1.0, 1.0, 0.0], [0.2, 0.1, 0.2, 0.2], [1.0, 1.0, 0.0, 0.2], [1.0, 1.0, 1.0, 1.0]]","[0.226875, 0.0018750000000000001, 0.2075, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
33,4,"[[1.0, 1.0, 1.0, 0.1], [0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.2]]","[0.151875, 0.0, 0.0, 0.12]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
34,4,"[[0.0, 0.2, 0.2, 0.2], [0.2, 0.2, 1.0, 0.2], [0.2, 0.2, 0.2, 0.1], [1.0, 1.0, 1.0, 1.0]]","[0.007500000000000001, 0.12, 0.0018750000000000001, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
35,4,"[[0.2, 0.2, 0.2, 1.0], [0.1, 1.0, 0.2, 0.2], [0.1, 0.1, 0.1, 0.1], [0.2, 0.2, 0.2, 0.2]]","[0.12, 0.131875, 0.0, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
36,4,"[[0.15, 0.2, 1.0, 0.1], [0.0, 0.1, 0.2, 0.2], [0.2, 0.1, 0.1, 0.1], [0.2, 1.0, 0.2, 1.0]]","[0.13671875, 0.006875000000000001, 0.0018750000000000001, 0.16]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
37,4,"[[0.2, 0.2, 0.2, 1.0], [1.0, 1.0, 0.1, 1.0], [0.2, 1.0, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.12, 0.151875, 0.12, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
38,4,"[[1.0, 0.2, 1.0, 1.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 0.2, 0.2]]","[0.12, 0.0, 0.0, 0.12]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
39,4,"[[0.2, 0.2, 0.2, 0.2], [0.1, 0.1, 1.0, 1.0], [1.0, 0.2, 1.0, 1.0], [0.2, 0.2, 1.0, 0.15]]","[0.0, 0.20249999999999999, 0.12, 0.12546875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
40,4,"[[0.2, 0.2, 0.2, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 1.0, 0.1, 0.2], [0.15, 1.0, 1.0, 0.2]]","[0.0, 0.0, 0.131875, 0.17046875]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
41,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 1.0, 0.15], [0.0, 0.0, 0.2, 0.2], [0.2, 0.0, 0.15, 1.0]]","[0.0, 0.12546875, 0.010000000000000002, 0.15171875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
42,4,"[[0.2, 0.2, 0.2, 0.2], [0.0, 0.2, 0.2, 0.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.010000000000000002, 0.0, 0.0]",1,0.25,3,0.75,0,0.0,3,0.75,3,0.75
43,4,"[[0.2, 1.0, 0.1, 1.0], [0.1, 0.2, 0.1, 1.0], [0.2, 0.2, 0.2, 0.2], [0.0, 0.0, 0.0, 0.2]]","[0.181875, 0.1425, 0.0, 0.007500000000000001]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
44,4,"[[1.0, 0.2, 0.2, 1.0], [0.2, 0.2, 0.2, 0.2], [0.2, 0.15, 0.2, 0.2], [0.2, 1.0, 0.2, 0.2]]","[0.16, 0.0, 0.0004687500000000003, 0.12]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
45,4,"[[1.0, 1.0, 1.0, 1.0], [0.1, 0.1, 0.2, 0.2], [0.1, 0.2, 0.1, 0.1], [1.0, 0.0, 0.2, 1.0]]","[0.0, 0.0025000000000000005, 0.0018750000000000001, 0.2075]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
46,4,"[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0], [0.15, 0.2, 0.2, 0.2], [0.2, 0.0, 0.2, 0.2]]","[0.0, 0.0, 0.0004687500000000003, 0.007500000000000001]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
47,4,"[[0.2, 0.2, 0.2, 1.0], [0.2, 0.2, 1.0, 0.2], [0.2, 0.2, 0.15, 0.2], [1.0, 1.0, 1.0, 0.2]]","[0.12, 0.12, 0.0004687500000000003, 0.12]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
48,4,"[[0.2, 0.15, 0.1, 0.2], [0.1, 0.1, 0.2, 0.1], [0.2, 0.2, 1.0, 0.2], [0.2, 0.2, 1.0, 1.0]]","[0.0017187500000000002, 0.0018750000000000001, 0.12, 0.16]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
49,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 1.0, 1.0, 0.2], [0.0, 1.0, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.0, 0.16, 0.2075, 0.0]",2,0.5,2,0.5,0,0.0,2,0.5,2,0.5
50,4,"[[1.0, 1.0, 1.0, 0.2], [1.0, 0.2, 0.2, 0.2], [1.0, 0.0, 0.2, 0.2], [0.2, 0.2, 0.2, 0.2]]","[0.12, 0.12, 0.1475, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
51,4,"[[0.2, 0.1, 0.2, 1.0], [1.0, 0.2, 0.2, 1.0], [0.2, 0.1, 0.1, 0.2], [1.0, 1.0, 1.0, 0.2]]","[0.131875, 0.16, 0.0025000000000000005, 0.12]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
52,4,"[[0.2, 0.2, 0.2, 1.0], [0.0, 1.0, 0.15, 1.0], [0.2, 0.2, 0.2, 0.2], [1.0, 0.2, 1.0, 0.2]]","[0.12, 0.21671875, 0.0, 0.16]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
53,4,"[[0.1, 0.1, 0.1, 0.1], [0.2, 0.1, 0.1, 0.2], [0.2, 1.0, 0.0, 0.1], [0.2, 0.15, 0.15, 0.2]]","[0.0, 0.0025000000000000005, 0.156875, 0.0006250000000000004]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
54,4,"[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.15, 1.0], [0.2, 0.2, 1.0, 0.2], [1.0, 0.15, 0.2, 0.2]]","[0.0, 0.13546875, 0.12, 0.12546875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
55,4,"[[0.1, 0.2, 0.05, 0.1], [0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.1, 0.2], [1.0, 0.2, 1.0, 0.15]]","[0.0029687500000000005, 0.0, 0.0018750000000000001, 0.17046875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
56,4,"[[0.0, 0.0, 0.2, 0.2], [0.2, 1.0, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2], [0.15, 1.0, 0.2, 1.0]]","[0.010000000000000002, 0.16, 0.0, 0.17046875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
57,4,"[[0.2, 1.0, 0.2, 0.2], [0.15, 0.2, 0.2, 0.0], [1.0, 0.1, 1.0, 0.2], [1.0, 0.2, 0.2, 1.0]]","[0.12, 0.006718750000000001, 0.181875, 0.16]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
58,4,"[[0.2, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.0], [1.0, 0.2, 1.0, 1.0], [0.0, 0.0, 0.15, 0.2]]","[0.0, 0.007500000000000001, 0.12, 0.00796875]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
59,4,"[[0.1, 0.1, 0.2, 0.1], [0.1, 0.2, 0.1, 0.1], [1.0, 1.0, 0.2, 1.0], [0.2, 1.0, 1.0, 1.0]]","[0.0018750000000000001, 0.0018750000000000001, 0.12, 0.12]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
60,4,"[[0.2, 0.2, 0.1, 0.2], [0.2, 0.2, 0.2, 0.15], [0.0, 0.1, 0.1, 0.2], [0.2, 0.2, 0.2, 1.0]]","[0.0018750000000000001, 0.0004687500000000003, 0.005000000000000001, 0.12]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
61,4,"[[0.2, 0.2, 0.2, 0.1], [0.2, 0.1, 0.0, 0.2], [1.0, 1.0, 1.0, 1.0], [0.2, 0.2, 0.15, 0.2]]","[0.0018750000000000001, 0.006875000000000001, 0.0, 0.0004687500000000003]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
62,4,"[[0.1, 0.2, 0.2, 0.2], [0.0, 0.2, 0.2, 0.2], [0.2, 0.2, 0.2, 0.1], [0.0, 0.2, 1.0, 0.2]]","[0.0018750000000000001, 0.007500000000000001, 0.0018750000000000001, 0.1475]",4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
63,4,"[[0.2, 0.1, 0.1, 0.2], [1.0, 0.2, 1.0, 1.0], [1.0, 1.0, 0.1, 1.0], [1.0, 1.0, 1.0, 1.0]]","[0.0025000000000000005, 0.12, 0.151875, 0.0]",3,0.75,1,0.25,0,0.0,1,0.25,1,0.25
