update,optimizer_step,global_step,microsteps,cumulative_completions,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,canonical_pass_rate,format_accuracy,valid_answer_rate,parseable_rate,loss,total_loss,entropy,entropy_raw_metric_key,grad_norm,grad_norm_available,learning_rate,kl,kl_available,kl_unavailable_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_raw_key,completion_length_mean,eos_rate,truncation_rate,completion_duplicate_rate,unique_completion_rate,zero_advantage_group_count,zero_advantage_fraction
12,12,12,48,192,1203,16185,0.575,0.42793106921559226,0.183125,0.5,0.9375,0.8125,0.8125,0.0455,0.0455,0.18606438860297203,entropy,0.4817214012145996,True,9.140625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,75.1875,1.0,0.0,0.0,1.0,1,0.25
13,13,13,52,208,1800,17985,0.3375,0.3218598297395933,0.10359375,0.1875,0.9375,0.9375,0.9375,-0.063,-0.063,0.24411465600132942,entropy,0.29812556505203247,True,9.0625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,112.5,1.0,0.0,0.0,1.0,2,0.5
14,14,14,56,224,2013,19998,0.58125,0.42014692370645773,0.1765234375,0.5,1.0,0.8125,0.8125,0.0961,0.0961,0.21018819138407707,entropy,0.31849417090415955,True,8.984375000000002e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,125.8125,1.0,0.0,0.0,1.0,0,0.0
15,15,15,60,240,2012,22010,0.434375,0.44466235434878,0.197724609375,0.375,0.625,0.6875,0.625,-0.053,-0.053,0.264470923691988,entropy,0.5100387334823608,True,8.906250000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,125.75,0.9375,0.0625,0.0,1.0,1,0.25
16,16,16,64,256,1157,23167,0.515625,0.4300140804380712,0.184912109375,0.4375,0.875,0.75,0.6875,0.013,0.013,0.26861583441495895,entropy,0.5758445262908936,True,8.828125000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,72.3125,1.0,0.0,0.0,1.0,1,0.25
17,17,17,68,272,1789,24956,0.44375,0.4358450842902785,0.1899609375,0.375,0.8125,0.625,0.625,0.0113,0.0113,0.24109353125095367,entropy,0.5183473229408264,True,8.750000000000001e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,111.8125,1.0,0.0,0.0,1.0,0,0.0
18,18,18,72,288,1665,26621,0.403125,0.4071504443998557,0.165771484375,0.3125,0.8125,0.6875,0.625,-0.0194,-0.0194,0.20467669144272804,entropy,0.3414919674396515,True,8.671875e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,104.0625,1.0,0.0,0.0,1.0,0,0.0
19,19,19,76,304,1265,27886,0.525,0.4235268586524354,0.179375,0.4375,0.875,0.875,0.875,-0.1122,-0.1122,0.22146041318774223,entropy,1.941465139389038,True,8.59375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,79.0625,1.0,0.0,0.0,1.0,1,0.25
20,20,20,80,320,1512,29398,0.325,0.3288236609491476,0.108125,0.1875,0.9375,0.8125,0.8125,0.0822,0.0822,0.31887631863355637,entropy,0.37743327021598816,True,8.515625e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,94.5,1.0,0.0,0.0,1.0,1,0.25
21,21,21,84,336,1564,30962,0.165625,0.2302978709736588,0.053037109375,0.0625,0.5625,0.5,0.4375,0.0713,0.0713,0.2797674424946308,entropy,0.4581066071987152,True,8.4375e-06,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,clip_ratio/region_mean,97.75,0.9375,0.0625,0.0,1.0,0,0.0
