scope,metric,value,numerator,denominator,source
training,format_rate,0.546875,280,512,grpo_training_metrics.csv
training,canonical_pass,0.19140625,98,512,grpo_training_metrics.csv
final_all_candidates,format_rate,0.245,196,800,grpo_seed42_final_by_domain_level.csv
final_all_candidates,parseable_rate,0.2025,162,800,grpo_seed42_final_by_domain_level.csv
final_all_candidates,canonical_pass,0.06125,49,800,grpo_seed42_final_by_domain_level.csv
final_all_candidates,truncation_rate,0.08,64,800,grpo_seed42_final_by_domain_level.csv
reward_groups,nonzero_variance_fraction,0.7890625,101,128,grpo_reward_group_statistics.csv
reward_groups,zero_advantage_fraction,0.2109375,27,128,grpo_reward_group_statistics.csv
