left,right,overlap_count,expected
train_v2,train_v2,512,self
train_v2,dev_v2,0,0
train_v2,test_v2_hidden,0,0
train_v2,all_v1,0,0
dev_v2,train_v2,0,0
dev_v2,dev_v2,128,self
dev_v2,test_v2_hidden,0,0
dev_v2,all_v1,0,0
test_v2_hidden,train_v2,0,0
test_v2_hidden,dev_v2,0,0
test_v2_hidden,test_v2_hidden,400,self
test_v2_hidden,all_v1,0,0
all_v1,train_v2,0,0
all_v1,dev_v2,0,0
all_v1,test_v2_hidden,0,0
all_v1,all_v1,704,self
