seed,run_id,update,cumulative_generated_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,policy_loss,value_loss,total_loss,entropy,kl,truncation_rate
42,ppo_formal_1p5b_seed42_20260719T131800Z,1,1588.0,0.215625,0.125,0.5625,0.5625,0.025859501212835312,5.404799461364746,0.56633944734931,1.1066670417785645,0.0004086608241777867,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,2,3308.0,0.07187500000000001,0.0,0.25,0.25,0.02222594991326332,4.087178707122803,0.4309438206255436,1.0901492834091187,0.0008428490255028009,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,3,4815.0,0.34375,0.25,0.625,0.625,0.00040391646325588226,4.685901641845703,0.4689940806478262,1.913795828819275,0.0004203168791718781,0.0625
42,ppo_formal_1p5b_seed42_20260719T131800Z,4,6319.0,0.509375,0.4375,0.75,0.75,-0.0025152061134576797,4.738748550415039,0.47135964892804627,1.4370014667510986,0.0007767484639771283,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,5,7785.0,0.275,0.1875,0.625,0.625,0.0035166111774742603,4.6766157150268555,0.4711781826801598,1.411299705505371,0.00039786609704606235,0.0625
42,ppo_formal_1p5b_seed42_20260719T131800Z,6,9195.0,0.1125,0.0625,0.25,0.1875,0.0002592187374830246,4.472023963928223,0.4474616151303053,1.1008899211883545,0.0006434272509068251,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,7,11183.0,0.14375,0.125,0.25,0.1875,0.0072885537520051,3.5649654865264893,0.36378510240465406,0.9692543745040894,0.0003897460992448032,0.125
42,ppo_formal_1p5b_seed42_20260719T131800Z,8,13468.0,0.2125,0.1875,0.25,0.1875,0.002476826310157776,3.837672472000122,0.38624407351017,1.0960034132003784,0.0007468803087249398,0.125
42,ppo_formal_1p5b_seed42_20260719T131800Z,9,15003.0,0.07500000000000001,0.0,0.5,0.25,0.06563778966665268,4.8952317237854,0.5551609620451927,1.712127685546875,0.00046003787429071963,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,10,16255.0,0.29375,0.25,0.375,0.375,0.01003084983676672,4.417734622955322,0.451804312132299,1.679436206817627,0.00030121696181595325,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,11,17955.0,0.20625000000000002,0.125,0.5625,0.5,0.009129393845796585,4.167502403259277,0.42587963417172436,1.1392314434051514,0.0005985521711409092,0.0625
42,ppo_formal_1p5b_seed42_20260719T131800Z,12,18966.0,0.425,0.375,0.4375,0.4375,0.001220420002937317,5.930476188659668,0.5942680388689041,1.3057937622070312,0.000607874826528132,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,13,20765.0,0.165625,0.0625,0.5625,0.5,0.017306286841630936,4.923032760620117,0.5096095629036427,1.8727107048034668,0.0004317263956181705,0.125
42,ppo_formal_1p5b_seed42_20260719T131800Z,14,22194.0,0.234375,0.125,0.5625,0.5625,0.010709919035434723,4.143141746520996,0.42502409368753435,1.5606846809387207,0.0006604812806472182,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,15,23873.0,0.125,0.0625,0.3125,0.3125,0.03154854476451874,4.989675998687744,0.5305161446332931,1.4221101999282837,0.000508810393512249,0.0625
42,ppo_formal_1p5b_seed42_20260719T131800Z,16,25216.0,0.084375,0.0,0.375,0.375,0.016065213829278946,4.835272789001465,0.49959249272942546,1.6897468566894531,0.0011220995802432299,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,17,26982.0,0.153125,0.0625,0.5625,0.25,0.00971253402531147,4.7460222244262695,0.4843147564679384,1.2994519472122192,0.0006316559156402946,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,18,28797.0,0.325,0.3125,0.375,0.375,0.005699096247553825,3.9213156700134277,0.3978306632488966,1.1655958890914917,0.000439171475591138,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,19,31021.0,0.1875,0.0625,0.75,0.4375,0.0002776593901216984,4.929681301116943,0.4932457895018161,0.740808367729187,0.0011229277588427067,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,20,32394.0,0.2125,0.1875,0.3125,0.3125,0.011829123832285404,4.872765064239502,0.4991056302562356,1.209712028503418,0.00024974526604637504,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,21,34020.0,0.21875,0.1875,0.3125,0.25,0.005757695995271206,4.335933685302734,0.4393510645255447,1.9367715120315552,0.0004688884364441037,0.0625
42,ppo_formal_1p5b_seed42_20260719T131800Z,22,35631.0,0.390625,0.3125,0.6875,0.625,0.0003647175617516041,4.273197174072266,0.4276844349689782,1.182227373123169,0.0006208715494722128,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,23,37547.0,0.228125,0.1875,0.375,0.3125,0.008269327692687511,3.7761056423187256,0.38587989192456007,0.9657084345817566,0.00041584877180866897,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,24,39158.0,0.328125,0.25,0.5,0.5,0.0012053726240992546,3.5768489837646484,0.35889027100056414,0.7186977863311768,0.0008512684144079685,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,25,40826.0,0.15,0.0625,0.5,0.5,0.007133703678846359,4.7847490310668945,0.48560860678553586,1.2243967056274414,0.000867173308506608,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,26,42128.0,0.275,0.25,0.375,0.375,0.004279725253582001,4.59542179107666,0.46382190436124804,1.0428962707519531,0.0007208687020465732,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,27,43501.0,0.4625,0.375,0.8125,0.8125,-0.002283181995153427,4.297616004943848,0.42747841849923135,0.9998006820678711,0.0008167604682967067,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,28,44850.0,0.15625,0.0625,0.5625,0.375,0.012870780192315578,4.585110187530518,0.47138179894536736,1.0539782047271729,0.0006150971166789532,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,29,46294.0,0.21875,0.125,0.5,0.5,0.003195405239239335,4.370230674743652,0.4402184727136046,1.2384920120239258,0.0008144741877913475,0.0
42,ppo_formal_1p5b_seed42_20260719T131800Z,30,48447.0,0.29375,0.25,0.5625,0.375,0.006950451992452145,3.877927303314209,0.39474318232387307,1.1374833583831787,0.0004702747392002493,0.125
42,ppo_formal_1p5b_seed42_20260719T131800Z,31,49805.0,0.328125,0.25,0.625,0.5625,0.010463623329997063,4.148394584655762,0.42530308179557325,0.7774076461791992,0.0005814421456307173,0.0
