run_id,seed,series_index,completion_count,unique_problem_count,generated_tokens,greedy_accuracy,greedy_accuracy_available,greedy_accuracy_unavailable_reason,sampled_pass_at_1,pass_at_4,gsm8k_pass_at_1,gsm8k_pass_at_4,math500_pass_at_1,math500_pass_at_4,format_accuracy,valid_answer_rate,canonical_correctness,reward_mean,completion_length_mean,completion_length_std_population,eos_rate,truncation_rate,format_error_count,parse_error_count,wrong_answer_count,verified_pass_count,wall_time_seconds,tokens_per_second,pytorch_peak_allocated_mib,pytorch_peak_reserved_mib,nvidia_smi_peak_vram_mib,mean_gpu_utilization_pct,gpu_hours,cost_cny
baseline_formal_1p5b_seed42_20260718T125833Z,42,0,800,400,96150,,false,frozen protocol has no separate greedy completion,0.04,0.1,0.035,0.1,0.045,0.1,0.135,0.12,0.03625,0.0713125,120.1875,64.89208228859665,0.9,0.1,692,12,67,29,2105.207755368203,45.67245192538409,3090.04052734375,3304.0,3913.0,38.049920255183416,0.5847799320467231,5.192845796574901
baseline_formal_1p5b_seed123_20260718T133624Z,123,1,800,400,91651,,false,frozen protocol has no separate greedy completion,0.025,0.06,0.015,0.02,0.035,0.1,0.1175,0.11125,0.02125,0.0590625,114.56375,63.35967515650234,0.9225,0.0775,706,5,72,17,2049.5625969581306,44.7173460991259,3090.03857421875,3306.0,3915.0,36.7769902752596,0.5693229435994808,5.05558773916339
