run_id,seed,wall_time_seconds,generated_tokens,tokens_per_second,pytorch_peak_allocated_mib,pytorch_peak_reserved_mib,nvidia_smi_peak_vram_mib,mean_gpu_utilization_pct,gpu_hours,cost_cny
baseline_formal_1p5b_seed42_20260718T125833Z,42,2105.207755368203,96150,45.67245192538409,3090.04052734375,3304.0,3913.0,38.049920255183416,0.5847799320467231,5.192845796574901
baseline_formal_1p5b_seed123_20260718T133624Z,123,2049.5625969581306,91651,44.7173460991259,3090.03857421875,3306.0,3915.0,36.7769902752596,0.5693229435994808,5.05558773916339
total,,4154.7703523263335,187801,,3090.04052734375,3306.0,3915.0,,1.154102875646204,10.248433535738291
