algorithm,update,cumulative_generated_tokens,reward_mean,format_accuracy,parseable_rate,canonical_pass_rate,entropy,zero_advantage_fraction,completion_length_mean,truncation_rate,loss,loss_comparable
grpo,20,32039.0,0.3875,0.4375,0.4375,0.375,0.19548098370432854,0.5,68.25,0.0,-0.0429,False
grpo,21,33434.0,0.225,0.5625,0.5625,0.125,0.3070858046412468,0.0,87.1875,0.0,-0.064,False
grpo,22,35084.0,0.440625,0.8125,0.8125,0.3125,0.29140055924654007,0.5,103.125,0.0,-0.0863,False
grpo,23,37013.0,0.140625,0.375,0.25,0.0625,0.23517557233572006,0.0,120.5625,0.0,-0.0977,False
grpo,24,38454.0,0.3125,0.5625,0.5625,0.25,0.22683687135577202,0.75,90.0625,0.0,-0.0139,False
grpo,25,40113.0,0.259375,0.5,0.5,0.1875,0.26264265552163124,0.25,103.6875,0.0,-0.0773,False
grpo,26,41483.0,0.39375,0.8125,0.625,0.3125,0.2581530250608921,0.0,85.625,0.0,-0.0024,False
grpo,27,42902.0,0.5,0.75,0.75,0.4375,0.24271098896861076,0.0,88.6875,0.0,-0.1525,False
grpo,28,44088.0,0.29375,0.5625,0.375,0.25,0.2859594561159611,0.5,74.125,0.0,-0.0271,False
grpo,29,45796.0,0.325,0.6875,0.6875,0.1875,0.28697024285793304,0.25,106.75,0.0,-0.0214,False
grpo,30,47551.0,0.36875,0.6875,0.5,0.3125,0.23293489962816238,0.0,109.6875,0.0,-0.1386,False
grpo,31,48996.0,0.51875,0.9375,0.75,0.4375,0.2241721823811531,0.0,90.3125,0.0,-0.0613,False
grpo,32,50773.0,0.325,0.625,0.4375,0.25,0.2612311393022537,0.0,111.0625,0.0,0.0054,False
