slice,completion_count,pass1_numerator,pass1_denominator,sampled_pass_at_1,base_sampled_pass_at_1,base_pass1_delta,ppo_sampled_pass_at_1,ppo_pass1_delta,pass4_numerator,pass4_denominator,pass_at_4,base_pass_at_4,base_pass4_delta,ppo_pass_at_4,ppo_pass4_delta,format_valid_rate,base_format_valid_rate,ppo_format_valid_rate,valid_answer_component_rate,parseable_rate,base_parseable_rate,ppo_parseable_rate,canonical_pass_rate_all_candidates,accuracy_given_parseable,accuracy_given_parseable_available,accuracy_given_parseable_reason,eos_rate,truncation_rate,base_truncation_rate,ppo_truncation_rate,completion_length_mean,completion_length_std_population,pass4_duplicate_count,pass4_duplicate_rate,pass4_unique_completion_rate,base_format_valid_delta,ppo_format_valid_delta,base_parseable_delta,ppo_parseable_delta,base_truncation_delta,ppo_truncation_delta
overall,800,28,400,0.07,0.04,0.030000000000000006,0.0375,0.03250000000000001,14,100,0.14,0.1,0.04000000000000001,0.09,0.05000000000000002,0.245,0.135,0.14,0.36375,0.2025,0.12,0.1225,0.06125,0.30246913580246915,True,,0.92,0.08,0.1,0.1,117.86,63.185246695727955,0,0.0,1.0,0.10999999999999999,0.10499999999999998,0.08250000000000002,0.08000000000000002,-0.020000000000000004,-0.020000000000000004
gsm8k,400,12,200,0.06,0.035,0.024999999999999994,0.025,0.034999999999999996,9,50,0.18,0.1,0.07999999999999999,0.08,0.09999999999999999,0.2175,0.095,0.0975,0.275,0.1475,0.0725,0.0725,0.0575,0.3898305084745763,True,,0.9975,0.0025,0.0,0.0,90.3975,39.397138141621404,0,0.0,1.0,0.1225,0.12,0.075,0.075,0.0025,0.0025
math500,400,16,200,0.08,0.045,0.035,0.05,0.03,5,50,0.1,0.1,0.0,0.1,0.0,0.2725,0.175,0.1825,0.4525,0.2575,0.1675,0.1725,0.065,0.2524271844660194,True,,0.8425,0.1575,0.2,0.2,145.3225,70.17291852096506,0,0.0,1.0,0.09750000000000003,0.09000000000000002,0.09,0.08500000000000002,-0.04250000000000001,-0.04250000000000001
math500_level_1,80,6,40,0.15,0.125,0.024999999999999994,0.125,0.024999999999999994,2,10,0.2,0.2,0.0,0.2,0.0,0.4875,0.325,0.3625,0.6125,0.475,0.3125,0.35,0.1625,0.34210526315789475,True,,0.9,0.1,0.1,0.15,123.6625,68.80932781062462,0,0.0,1.0,0.16249999999999998,0.125,0.16249999999999998,0.125,0.0,-0.04999999999999999
math500_level_2,80,7,40,0.175,0.1,0.07499999999999998,0.1,0.07499999999999998,0,10,0.0,0.1,-0.1,0.1,-0.1,0.2,0.15,0.1375,0.35,0.175,0.1375,0.125,0.0875,0.5,True,,0.9,0.1,0.1375,0.1625,134.075,62.25447273088095,0,0.0,1.0,0.05000000000000002,0.0625,0.03749999999999998,0.04999999999999999,-0.037500000000000006,-0.0625
math500_level_3,80,2,40,0.05,0.0,0.05,0.0,0.05,1,10,0.1,0.1,0.0,0.0,0.1,0.2625,0.2,0.2125,0.5375,0.2375,0.1875,0.1875,0.0375,0.15789473684210525,True,,0.875,0.125,0.15,0.15,137.6125,67.51583031963689,0,0.0,1.0,0.0625,0.05000000000000002,0.04999999999999999,0.04999999999999999,-0.024999999999999994,-0.024999999999999994
math500_level_4,80,1,40,0.025,0.0,0.025,0.025,0.0,2,10,0.2,0.1,0.1,0.2,0.0,0.25,0.1,0.1,0.35,0.2375,0.1,0.1,0.0375,0.15789473684210525,True,,0.75,0.25,0.2625,0.275,160.1625,73.65314720872422,0,0.0,1.0,0.15,0.15,0.13749999999999998,0.13749999999999998,-0.012500000000000011,-0.025000000000000022
math500_level_5,80,0,40,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.1625,0.1,0.1,0.4125,0.1625,0.1,0.1,0.0,0.0,True,,0.7875,0.2125,0.35,0.2625,171.1,66.99152931527985,0,0.0,1.0,0.0625,0.0625,0.0625,0.0625,-0.13749999999999998,-0.05000000000000002
