algorithm,seed,run_id,update,training_tokens,reward_mean,canonical_pass_rate,format_accuracy,parseable_rate,native_entropy,native_entropy_comparable_across_algorithms,truncation_rate
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,11,18543.0,0.09375,0.0,0.3125,0.25,0.6914575099945068,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,12,19571.0,0.16875,0.125,0.25,0.25,0.9899740219116211,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,13,21365.0,0.19375,0.125,0.375,0.375,1.5916228294372559,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,14,22914.0,0.140625,0.0625,0.4375,0.375,1.2889341115951538,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,15,24803.0,0.07500000000000001,0.0,0.375,0.375,1.4596455097198486,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,16,26236.0,0.178125,0.125,0.25,0.25,1.2442700862884521,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,17,28219.0,0.13125,0.0625,0.5,0.3125,0.8985558152198792,False,0.125
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,18,29864.0,0.109375,0.0625,0.25,0.25,1.0865641832351685,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,19,32157.0,0.121875,0.0625,0.3125,0.25,0.6408763527870178,False,0.0625
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,20,33288.0,0.2125,0.1875,0.3125,0.3125,1.2364110946655273,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,21,35100.0,0.196875,0.1875,0.25,0.1875,1.1743886470794678,False,0.0625
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,22,36684.0,0.528125,0.4375,0.875,0.8125,1.059533953666687,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,23,38818.0,0.159375,0.125,0.25,0.25,0.9280146360397339,False,0.0625
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,24,40290.0,0.33125,0.25,0.5625,0.5625,0.7458292841911316,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,25,41845.0,0.2,0.125,0.5,0.5,1.3689475059509277,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,26,42944.0,0.3125,0.3125,0.3125,0.3125,1.08315908908844,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,27,44545.0,0.321875,0.25,0.5625,0.5625,1.0269768238067627,False,0.0625
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,28,45894.0,0.246875,0.1875,0.5,0.375,1.4044466018676758,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,29,47549.0,0.25625,0.125,0.6875,0.6875,1.494619607925415,False,0.0625
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,30,49220.0,0.225,0.1875,0.375,0.375,1.0530235767364502,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,31,50507.0,0.3875,0.3125,0.75,0.625,0.9318774938583374,False,0.0
ppo,123,ppo_formal_1p5b_seed123_20260720T043732Z,32,51969.0,0.196875,0.125,0.5,0.375,1.2611528635025024,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,1,1537.0,0.19062500000000002,0.125,0.4375,0.4375,0.2822854444384575,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,2,3141.0,0.11875,0.0625,0.25,0.25,0.29175449907779694,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,3,4763.0,0.328125,0.25,0.625,0.5625,0.26220760121941566,False,0.0625
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,4,6401.0,0.375,0.3125,0.5625,0.5625,0.3248148038983345,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,5,8039.0,0.196875,0.125,0.5,0.375,0.33804572746157646,False,0.0625
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,6,10170.0,0.06875,0.0625,0.125,0.0625,0.2760927751660347,False,0.3125
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,7,12505.0,0.171875,0.125,0.375,0.25,0.2695411220192909,False,0.1875
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,8,14333.0,0.14375,0.0625,0.4375,0.3125,0.3315870016813278,False,0.125
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,9,15806.0,0.09062500000000001,0.0,0.5,0.3125,0.31877344846725464,False,0.0625
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,10,16941.0,0.365625,0.3125,0.4375,0.4375,0.2386881597340107,False,0.0625
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,11,18663.0,0.296875,0.1875,0.75,0.625,0.2728268578648567,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,12,19683.0,0.390625,0.3125,0.5625,0.5625,0.25604530051350594,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,13,21462.0,0.34375,0.25,0.75,0.6875,0.3531080335378647,False,0.0625
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,14,22830.0,0.2875,0.1875,0.625,0.5625,0.2226969376206398,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,15,24522.0,0.125,0.0625,0.1875,0.1875,0.364780068397522,False,0.0625
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,16,26205.0,0.30625,0.1875,0.6875,0.6875,0.3067150339484215,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,17,27602.0,0.11875000000000001,0.0,0.6875,0.3125,0.347715612500906,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,18,28971.0,0.075,0.0,0.3125,0.3125,0.3147662915289402,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,19,30947.0,0.065625,0.0,0.375,0.25,0.32270050048828125,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,20,32039.0,0.3875,0.375,0.4375,0.4375,0.19548098370432854,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,21,33434.0,0.225,0.125,0.5625,0.5625,0.3070858046412468,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,22,35084.0,0.440625,0.3125,0.8125,0.8125,0.29140055924654007,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,23,37013.0,0.140625,0.0625,0.375,0.25,0.23517557233572006,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,24,38454.0,0.3125,0.25,0.5625,0.5625,0.22683687135577202,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,25,40113.0,0.259375,0.1875,0.5,0.5,0.26264265552163124,False,0.0
grpo,42,grpo_formal_1p5b_seed42_20260720T031006Z,26,41483.0,0.39375,0.3125,0.8125,0.625,0.2581530250608921,False,0.0
