slice,completion_count,unique_problem_count,pass1,pass4,format_accuracy,valid_answer_rate,canonical_correctness,mean_completion_length,truncation_rate,reward_mean,test_driven_tuning,sampled_pass_at_1,pass_at_4,greedy_accuracy,greedy_accuracy_available,greedy_accuracy_unavailable_reason,problems
all,800,400,0.07,0.14,0.245,0.2025,0.06125,117.86,0.08,0.1193125,False,0.07,0.14,,False,frozen protocol has no separate greedy completion,
gsm8k,,,,,,,,,,,,0.06,,,,,200
math500,,,,,,,,,,,,0.08,,,,,200
math500_level_1,,,,,,,,,,,,0.15,,,,,40
math500_level_2,,,,,,,,,,,,0.175,,,,,40
math500_level_3,,,,,,,,,,,,0.05,,,,,40
math500_level_4,,,,,,,,,,,,0.025,,,,,40
math500_level_5,,,,,,,,,,,,0.0,,,,,40
