asset,size_bytes,sha256,path,upload_status,download_verification_status,browser_download_url
old-grpo-v1-checkpoint-32-adapter-v0.2.1.tar.gz,16061659,799adff43a98d991624f3719973d42337f502ea678304ade0ccc3470317047e1,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/old-grpo-v1-checkpoint-32-adapter-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/old-grpo-v1-checkpoint-32-adapter-v0.2.1.tar.gz
warmstart-checkpoint-16-adapter-v0.2.1.tar.gz,15843701,be45ffd2014b7e1acf8abc56277e0a7a57e1a03e3c5dcdc83205a6cc06256122,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/warmstart-checkpoint-16-adapter-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/warmstart-checkpoint-16-adapter-v0.2.1.tar.gz
selected-grpo-v2-checkpoint-96-adapter-v0.2.1.tar.gz,16090414,c9690ab2f4190a12568ad63cc75881b4cdaf8cb12575301c5f29e5e0a93c3ce5,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/selected-grpo-v2-checkpoint-96-adapter-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/selected-grpo-v2-checkpoint-96-adapter-v0.2.1.tar.gz
grpo-v2-training-evidence-v0.2.1.tar.gz,2103748,5cc622ea90a63a386c27d30bc4378456be168c72aa2614af5f6c266d8076f74b,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/grpo-v2-training-evidence-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/grpo-v2-training-evidence-v0.2.1.tar.gz
four-model-hidden-evidence-v0.2.1.tar.gz,3368730,dd4a89701ba037b8d4d130e72049a756138b7128385d28de255994a698d697e2,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/four-model-hidden-evidence-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/four-model-hidden-evidence-v0.2.1.tar.gz
portfolio-v1-evidence-v0.2.1.tar.gz,8229078,78cb18670b1fa1345c6b78d63f7251aac854ba4ccaaca2de57f5f935447b9b69,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/portfolio-v1-evidence-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/portfolio-v1-evidence-v0.2.1.tar.gz
reproducibility-v0.2.1.tar.gz,775367,0888a070ee8206d387249485fb3af30709474d1cd1427f0f90f6a6782b9cf52b,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/reproducibility-v0.2.1.tar.gz,uploaded,independent_github_download_verified,https://github.com/sherrywan717/ppo-vs-grpo-math-rlvr/releases/download/v0.2.1-grpo-v2-archive/reproducibility-v0.2.1.tar.gz
