algorithm,seed,run_id,commit,status,completions,generated_tokens,optimizer_steps,global_steps,pass_at_1,pass_at_4,format_accuracy,valid_expression_rate,number_usage_accuracy,reward_mean,reward_std_population,mean_group_reward_variance,zero_advantage_groups,loss,policy_loss,value_loss,grad_norm,entropy,kl,wall_time_seconds,peak_vram_mib,gpu_hours,cost_cny,checkpoint_size_bytes,checkpoint_path,backup_path,backup_sha256
ppo,42,ppo_matched_0p5b_seed42_20260716T114710Z,8db7ce6,execution_success/learning_signal_present,16,574,1,1,0.0,0.0,0.125,0.375,0.125,0.078125,0.03940475066537028,0.0012890625,0,0.0406283400952816,0.0406283400952816,6.805111885070801,,0.2690500020980835,0.5889581441879272,17.90550632402301,11189.0,0.004973751756673058,0.044166915599256756,10880009,/root/autodl-tmp/runs/math_rlvr/ppo_matched_0p5b_seed42_20260716T114710Z/checkpoint-1,/root/autodl-fs/math-rlvr-backups/ppo_matched_0p5b_seed42_20260716T114710Z.tar.gz,dd1833ea6fa75a6a8af1d7fba366b05e498b0524ee726a526eb7fa294f89b7f6
grpo,42,grpo_matched_0p5b_seed42_20260716T115219Z,c048802,execution_success/learning_signal_present,16,545,1,1,0.0,0.0,0.1875,0.375,0.0625,0.078125,0.03940475066537028,0.0014453125,0,0.30371785163879395,,,1.9378588199615479,0.4157172292470932,,11.34254403039813,3301.0,0.0031507066751105916,0.027978275274982055,24570925,/root/autodl-tmp/runs/math_rlvr/grpo_matched_0p5b_seed42_20260716T115219Z/checkpoint-1,/root/autodl-fs/math-rlvr-backups/grpo_matched_0p5b_seed42_20260716T115219Z.tar.gz,6c31e369554cc4272235981722c96ff65de69614eb435b580673b061003322fb
grpo,123,grpo_matched_0p5b_seed123_20260716T115714Z,463881f,execution_success/learning_signal_present,16,724,1,1,0.0,0.0,0.25,0.375,0.125,0.084375,0.03840064289826409,0.0012109375,0,0.21626996994018555,,,1.620953917503357,0.42529723793268204,,11.050494410097599,3301.0,0.0030695817805826663,0.02725788621157408,24570948,/root/autodl-tmp/runs/math_rlvr/grpo_matched_0p5b_seed123_20260716T115714Z/checkpoint-1,/root/autodl-fs/math-rlvr-backups/grpo_matched_0p5b_seed123_20260716T115714Z.tar.gz,63d4e598169ec655a5d2c52e023606e1fb8b6b6915345d8a948d3273b45bf6f3
ppo,123,ppo_matched_0p5b_seed123_20260716T120000Z,5489154,execution_success/learning_signal_present,16,565,1,1,0.0,0.0,0.1875,0.5,0.1875,0.09375,0.03903123748998998,0.0013281249999999999,1,0.012560875155031681,0.012560875155031681,3.9441425800323486,,0.17659686505794525,0.6488973498344421,15.237111125141382,10015.0,0.004232530868094829,0.03758487410868208,10880009,/root/autodl-tmp/runs/math_rlvr/ppo_matched_0p5b_seed123_20260716T120000Z/checkpoint-1,/root/autodl-fs/math-rlvr-backups/ppo_matched_0p5b_seed123_20260716T120000Z.tar.gz,2ac5a29a453e8e71bda7aea2d498e798b0f6d29393c20286bd0e585fe7f326f9
ppo,2026,ppo_matched_0p5b_seed2026_20260716T122924Z,8eabda8,execution_success/learning_signal_present,16,512,1,1,0.0,0.0,0.0,0.6875,0.25,0.09375,0.04284784125250652,0.00140625,0,-0.019591178745031357,-0.019591178745031357,11.300457000732422,,0.14682693779468536,0.4064469337463379,16.28056151419878,11189.0,0.00452237819838855,0.04015871840169033,10880009,/root/autodl-tmp/runs/math_rlvr/ppo_matched_0p5b_seed2026_20260716T122924Z/checkpoint-1,/root/autodl-fs/math-rlvr-backups/ppo_matched_0p5b_seed2026_20260716T122924Z.tar.gz,2fb70aacae8bcf8cfdb5bba359b2ce8b95e62dd1505f15f7d0af31d28e1ee03e
grpo,2026,grpo_matched_0p5b_seed2026_20260716T123716Z,b93c1f0,execution_success/learning_signal_present,16,703,1,1,0.0,0.0,0.0625,0.5625,0.125,0.078125,0.04990224819584785,0.0021484374999999997,0,0.46345794200897217,,,2.6247079372406006,0.47891663014888763,,11.458571776747704,3301.0,0.00318293660465214,0.028264477049311,24570929,/root/autodl-tmp/runs/math_rlvr/grpo_matched_0p5b_seed2026_20260716T123716Z/checkpoint-1,/root/autodl-fs/math-rlvr-backups/grpo_matched_0p5b_seed2026_20260716T123716Z.tar.gz,124818a2f9951b4927f3c0411cf5f2fdb37c1eaf3714f54b87c1d856db52eed0
