timestamp,gpu_memory_used_mb,gpu_utilization_pct,power_draw_w,temperature_c,process_rss_mb,elapsed_seconds
2026-07-21T02:22:24.979415+00:00,4.0,0.0,49.66,29.0,524.3984375,0.2972513735294342
2026-07-21T02:22:25.284844+00:00,4.0,0.0,49.67,29.0,533.03515625,0.6026698797941208
2026-07-21T02:22:25.588669+00:00,4.0,0.0,49.67,29.0,533.88671875,0.9065077528357506
2026-07-21T02:22:25.898573+00:00,4.0,0.0,49.64,29.0,559.27734375,1.2164111323654652
2026-07-21T02:22:26.223168+00:00,4.0,0.0,49.67,29.0,633.17578125,1.541004542261362
2026-07-21T02:22:26.507897+00:00,4.0,0.0,49.67,29.0,656.125,1.8257001042366028
2026-07-21T02:22:26.826563+00:00,4.0,0.0,49.67,29.0,737.74609375,2.1444017253816128
2026-07-21T02:22:27.125057+00:00,4.0,0.0,49.65,29.0,762.9765625,2.442895706743002
2026-07-21T02:22:27.430814+00:00,21.0,0.0,52.58,29.0,828.234375,2.74863975122571
2026-07-21T02:22:27.729317+00:00,1319.0,10.0,61.73,29.0,1699.578125,3.0471554696559906
2026-07-21T02:22:28.028171+00:00,2551.0,9.0,71.32,29.0,2853.203125,3.346010323613882
2026-07-21T02:22:28.512218+00:00,3597.0,1.0,80.78,29.0,857.91796875,3.8300565145909786
2026-07-21T02:22:28.813139+00:00,3779.0,0.0,80.48,30.0,1207.44921875,4.130977340042591
2026-07-21T02:22:29.109469+00:00,3811.0,1.0,81.5,30.0,1523.4296875,4.427307866513729
2026-07-21T02:22:29.408470+00:00,3811.0,37.0,84.06,30.0,1695.53125,4.726309236139059
2026-07-21T02:22:29.706388+00:00,3811.0,37.0,88.9,30.0,1695.66796875,5.024227596819401
2026-07-21T02:22:30.006470+00:00,3811.0,38.0,93.84,30.0,1695.7421875,5.324309308081865
2026-07-21T02:22:30.301605+00:00,3811.0,37.0,97.06,30.0,1695.76171875,5.619444243609905
2026-07-21T02:22:30.605106+00:00,3811.0,38.0,97.24,30.0,1695.77734375,5.9229444563388824
