problem_id,version,prompt_hash,rendered_sha256,token_count,runtime_token_count,format_instruction_distance_tokens,prompt_truncated,generation_boundary_correct,template_application_count
countdown:train:0,prompt_v0_grpo_smoke,296b30c27fa7fc75d4dee32c40d0aefe2cfb05198621d27c776d6c31f1a401a3,10ef24136ee7eded595e47a0cff4990b4b63d605a5066ac668471e761f93ac2e,85,85,43,False,True,1
countdown:train:0,prompt_v1_strict_concise,296b30c27fa7fc75d4dee32c40d0aefe2cfb05198621d27c776d6c31f1a401a3,7f669cc719c3a0bc4d0007e04ad756dc8d688c4be314a80e10d5377fcf22ebc8,157,157,5,False,True,1
countdown:train:1,prompt_v0_grpo_smoke,5838e3d11c5a7d19f65dedb4a801367acc5a14b749bcf0debc1986da9f5f4992,3391d931463b57a4a98d53cbbdaed55fed687c2f73e2d25fd4ce856434a811f1,83,83,41,False,True,1
countdown:train:1,prompt_v1_strict_concise,5838e3d11c5a7d19f65dedb4a801367acc5a14b749bcf0debc1986da9f5f4992,bf6cfad2cde22f98afba534c8e9c1bbc7844a61087a76bb48d654533e6cf1335,155,155,5,False,True,1
